version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,CE,014,A,4.0,8.0,3.509804,26.0,0.06882,0.765909,0.509434,4.0,3.0,0.563218,53.0,2.0,26.5,0.171408847,1.448162002,0.080822697,0.340786018,-1.325204027,1.098059404,0.140129096,0.463470509,1.685513898,-1.857651123,1.625815095,2.955746113,-0.20990366
claude-version,CE,014,B,4.0,8.0,3.12766,20.0,0.066546,0.686957,0.55102,4.0,4.0,0.517241,49.0,2.0,24.5,0.171408847,1.448162002,-0.493033216,-0.171725539,-1.370338537,0.539705668,0.494978046,0.463470509,2.437773962,-1.885768099,1.334583472,2.955746113,-0.369067082
claude-version,CE,014,C,6.0,7.0,3.339286,30.0,0.05963,0.658929,0.534483,7.0,0.0,0.609195,58.0,2.0,29.0,1.091971935,0.895892151,-0.175239841,0.682460389,-1.507607785,0.341489808,0.35386957,1.448320718,-0.571266292,-1.829534148,1.989854623,2.955746113,-0.010949382
claude-version,CE,015,A,13.0,7.0,3.07767,22.0,0.02988,0.786,0.59434,13.0,7.0,0.842593,106.0,3.0,35.333333,4.313942741,0.895892151,-0.568101926,-0.000888353,-2.098087849,1.240144277,0.864623035,3.418021137,4.694554152,-1.686800914,5.484634094,6.149075968,0.493068095
claude-version,CE,015,B,13.0,7.0,3.147368,22.0,0.03313,0.763636,0.520408,13.0,7.0,0.787037,98.0,3.0,32.666667,4.313942741,0.895892151,-0.463438214,-0.000888353,-2.033581623,1.081984598,0.23376908,3.418021137,4.694554152,-1.720775873,4.902170849,6.149075968,0.280850252
claude-version,CE,015,C,13.0,5.0,3.188679,22.0,0.030082,0.802041,0.53211,16.0,6.0,0.87037,109.0,3.0,36.333333,4.313942741,-0.208647549,-0.401402538,-0.000888353,-2.094078539,1.353587284,0.333621011,4.402871346,3.942294088,-1.669814046,5.703057811,6.149075968,0.572649806
claude-version,CE,016,A,8.0,7.0,3.425926,25.0,0.063443,0.455357,0.5,6.0,0.0,0.641026,56.0,2.0,28.0,2.012535022,0.895892151,-0.045134759,0.255367425,-1.431927096,-1.098184763,0.059629769,1.120037315,-0.571266292,-1.810068079,1.844238812,2.955746113,-0.090531093
claude-version,CE,016,B,6.0,5.0,3.456522,24.0,0.075142,0.524,0.5625,6.0,1.0,0.538462,48.0,2.0,24.0,1.091971935,-0.208647549,0.000810475,0.169948832,-1.199724533,-0.612736953,0.592935675,1.120037315,0.180993771,-1.872790516,1.261775567,2.955746113,-0.408857938
claude-version,CE,016,C,6.0,6.0,3.645833,24.0,0.075955,0.645833,0.54,6.0,0.0,0.564103,50.0,2.0,25.0,1.091971935,0.343622301,0.285093983,0.169948832,-1.183588052,0.248874035,0.400945549,1.120037315,-0.571266292,-1.857109907,1.407391378,2.955746113,-0.329276227
claude-version,CE,017,A,9.0,6.0,3.081395,20.0,0.03583,0.74,0.58427,6.0,6.0,0.714286,89.0,3.0,29.666667,2.472816566,0.343622301,-0.562508188,-0.171725539,-1.979991836,0.914829252,0.778696788,1.120037315,3.942294088,-1.765266338,4.246899698,6.149075968,0.042105118
claude-version,CE,017,B,11.0,7.0,3.106383,22.0,0.033047,0.642105,0.556701,9.0,8.0,0.75,97.0,3.0,32.333333,3.393379654,0.895892151,-0.524984345,-0.000888353,-2.035229013,0.222509374,0.54345342,2.104887524,5.446814215,-1.743425642,4.829362943,6.149075968,0.254322961
claude-version,CE,017,C,8.0,8.0,2.7625,24.0,0.034531,0.75625,0.590361,6.0,9.0,0.696429,83.0,3.0,27.666667,2.012535022,1.448162002,-1.041384689,0.169948832,-2.005774478,1.029750321,0.830670648,1.120037315,6.199074279,-1.776186686,3.810052264,6.149075968,-0.117058304
claude-version,CE,018,A,8.0,6.0,3.915663,40.0,0.047177,0.538158,0.482353,5.0,6.0,0.831579,85.0,2.0,42.5,2.012535022,0.343622301,0.690290822,1.536646317,-1.754775793,-0.512610646,-0.090950219,0.791753912,3.942294088,-1.693536464,3.955668076,2.955746113,1.063403718
claude-version,CE,018,B,9.0,6.0,3.848485,33.0,0.05831,0.568182,0.5,5.0,3.0,0.663158,68.0,2.0,34.0,2.472816566,0.343622301,0.58941133,0.938716167,-1.533807236,-0.300278943,0.059629769,0.791753912,1.685513898,-1.796533379,2.71793368,2.955746113,0.386959173
claude-version,CE,018,C,7.0,5.0,4.309859,38.0,0.060702,0.629688,0.547945,5.0,3.0,0.694737,73.0,2.0,36.5,1.552253478,-0.208647549,1.282244917,1.365809131,-1.486330654,0.134695533,0.468739395,0.791753912,1.685513898,-1.777221419,3.081973208,2.955746113,0.585913451
claude-version,CE,019,A,17.0,6.0,3.747826,36.0,0.03259,0.591509,0.338983,22.0,5.0,0.941748,118.0,3.0,39.333333,6.155068917,0.343622301,0.438254273,1.194971946,-2.044299581,-0.135308865,-1.314311302,6.372571765,3.190034025,-1.626163232,6.358328962,6.149075968,0.811394939
claude-version,CE,019,B,19.0,9.0,3.752809,40.0,0.042166,0.625,0.406593,21.0,3.0,0.747573,91.0,2.0,45.5,7.075632004,2.000431852,0.445737118,1.536646317,-1.854234468,0.101541689,-0.737402306,6.044288362,1.685513898,-1.744909861,4.392515509,2.955746113,1.302148851
claude-version,CE,019,C,15.0,6.0,5.714286,52.0,0.068027,0.578049,0.325581,24.0,1.0,0.68932,86.0,2.0,43.0,5.234505829,0.343622301,3.391237179,2.561669431,-1.340943546,-0.230498871,-1.428669153,7.029138571,0.180993771,-1.780534155,4.028475981,2.955746113,1.103194573
claude-version,CE,020,A,10.0,5.0,3.918919,23.0,0.052958,0.514062,0.5,3.0,0.0,0.529412,76.0,2.0,38.0,2.93309811,-0.208647549,0.695180275,0.084530239,-1.640034104,-0.683019143,0.059629769,0.135187105,-0.571266292,-1.878324992,3.300396925,2.955746113,0.705286018
claude-version,CE,020,B,9.0,9.0,4.0,30.0,0.053333,0.601471,0.480519,6.0,3.0,0.554622,77.0,2.0,38.5,2.472816566,2.000431852,0.816937547,0.682460389,-1.632591078,-0.064856946,-0.106599548,1.120037315,1.685513898,-1.862907959,3.37320483,2.955746113,0.745076873
claude-version,CE,020,C,10.0,7.0,4.416667,38.0,0.061343,0.506897,0.378378,8.0,0.0,0.529412,74.0,2.0,37.0,2.93309811,0.895892151,1.442635771,1.365809131,-1.473608042,-0.733690494,-0.978157923,1.776604121,-0.571266292,-1.878324992,3.154781113,2.955746113,0.625704306
claude-version,CE,021,A,7.0,5.0,3.772727,34.0,0.042872,0.488095,0.566667,3.0,3.0,0.65873,90.0,2.0,45.0,1.552253478,-0.208647549,0.475647471,1.02413476,-1.840221732,-0.866659474,0.628492246,0.135187105,1.685513898,-1.799241297,4.319707604,2.955746113,1.262357995
claude-version,CE,021,B,8.0,7.0,5.139785,45.0,0.055267,0.577381,0.526316,6.0,0.0,0.698413,95.0,2.0,47.5,2.012535022,0.895892151,2.528523657,1.963739281,-1.594204912,-0.235223011,0.284181421,1.120037315,-0.571266292,-1.774973382,4.683747132,2.955746113,1.461312273
claude-version,CE,021,C,7.0,5.0,3.973333,28.0,0.052978,0.5,0.493506,6.0,0.0,0.555556,77.0,2.0,38.5,1.552253478,-0.208647549,0.776892393,0.511623203,-1.639637142,-0.782466531,0.004217153,1.120037315,-0.571266292,-1.862336776,3.37320483,2.955746113,0.745076873
claude-version,CE,022,A,9.0,6.0,3.71831,30.0,0.052371,0.798718,0.547945,14.0,3.0,0.66,73.0,2.0,36.5,2.472816566,0.343622301,0.393930848,0.682460389,-1.65168492,1.33008681,0.468739395,3.74630454,1.685513898,-1.798464636,3.081973208,2.955746113,0.585913451
claude-version,CE,022,B,9.0,8.0,3.469697,28.0,0.052571,0.769444,0.544118,15.0,0.0,0.62,68.0,2.0,34.0,2.472816566,1.448162002,0.020595037,0.511623203,-1.647715307,1.123059156,0.436084008,4.074587943,-0.571266292,-1.822926411,2.71793368,2.955746113,0.386959173
claude-version,CE,022,C,7.0,7.0,3.508197,24.0,0.057511,0.715625,0.555556,14.0,3.0,0.55,63.0,2.0,31.5,1.552253478,0.895892151,0.078409506,0.169948832,-1.549665844,0.742447649,0.533683255,3.74630454,1.685513898,-1.865734517,2.353894151,2.955746113,0.188004895
claude-version,CE,023,A,15.0,7.0,3.347107,42.0,0.027662,0.453922,0.368,3.0,9.0,0.704403,125.0,4.0,31.25,5.234505829,0.895892151,-0.163495244,1.707483503,-2.142110867,-1.108333178,-1.066712302,0.135187105,6.199074279,-1.771310231,6.867984302,9.342405822,0.168109468
