version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_or_beishi_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,EC,063,C,19.0,6.0,4.488889,28.0,0.049877,0.475352,0.301075,3.0,0.0,1.689189,93.0,3.0,31.0,6.644356325,1.384631187,0.615624926,0.836987508,-2.317498995,-0.251296139,-0.419830934,0.491270684,-0.632943758,-1.960973398,6.282562558,19.608052568,0.35199147
claude-version,EC,064,A,9.0,8.0,4.597701,34.0,0.052847,0.527941,0.337079,8.0,0.0,1.353659,89.0,2.0,44.5,2.101703675,3.121063576,0.717761937,1.449791053,-2.253708017,0.183087093,-0.074821974,2.39306181,-0.632943758,-2.050992677,5.898758673,9.75475982,1.650983173
claude-version,EC,064,B,7.0,5.0,4.552083,39.0,0.047418,0.617763,0.357143,11.0,0.0,1.536585,98.0,2.0,49.0,1.193173145,0.516414992,0.674942338,1.960460673,-2.370314488,0.925013555,0.117441658,3.534136485,-0.632943758,-2.001915495,6.762317415,9.75475982,2.083980408
claude-version,EC,064,C,10.0,6.0,4.670732,32.0,0.05696,0.543939,0.333333,9.0,1.0,1.256098,84.0,2.0,42.0,2.55596894,1.384631187,0.786312905,1.245523204,-2.165367178,0.315229993,-0.110718084,2.773420035,0.552788273,-2.077167299,5.419003817,9.75475982,1.410429154
claude-version,EC,065,A,10.0,7.0,3.656716,22.0,0.054578,0.405085,0.434783,0.0,2.0,1.47541,69.0,2.0,34.5,2.55596894,2.252847381,-0.16549905,0.224183963,-2.216528831,-0.83169901,0.861428316,-0.649803992,1.738520305,-2.018328124,3.979739247,9.75475982,0.688767097
claude-version,EC,065,B,10.0,6.0,4.149254,32.0,0.061929,0.468966,0.405797,0.0,1.0,1.491803,69.0,2.0,34.5,2.55596894,1.384631187,0.296824579,1.245523204,-2.058640791,-0.304044267,0.583669464,-0.649803992,0.552788273,-2.013930049,3.979739247,9.75475982,0.688767097
claude-version,EC,065,C,10.0,6.0,4.030769,34.0,0.062012,0.45463,0.343284,0.0,1.0,1.409836,67.0,2.0,33.5,2.55596894,1.384631187,0.185607951,1.449791053,-2.05685808,-0.422459107,-0.015362452,-0.649803992,0.552788273,-2.03592096,3.787837304,9.75475982,0.592545489
claude-version,EC,066,A,7.0,7.0,8.781818,54.0,0.159669,0.537,0.446429,7.0,0.0,1.6,56.0,1.0,56.0,1.193173145,2.252847381,4.645207444,3.492469535,0.040662302,0.257914105,0.973026315,2.012703584,-0.632943758,-1.984901897,2.73237662,-0.098532927,2.757531661
claude-version,EC,066,B,8.0,5.0,6.46,49.0,0.1292,0.621591,0.392157,4.0,1.0,1.509091,51.0,1.0,51.0,1.64743841,0.516414992,2.465819613,2.981799914,-0.613764401,0.956632696,0.452963925,0.871628909,0.552788273,-2.009291855,2.252621763,-0.098532927,2.276423623
claude-version,EC,066,C,6.0,7.0,6.591837,48.0,0.134527,0.493023,0.4,7.0,1.0,1.363636,50.0,1.0,50.0,0.73890788,2.252847381,2.589569172,2.87966599,-0.499348731,-0.10533432,0.52811961,2.012703584,0.552788273,-2.048315949,2.156670792,-0.098532927,2.180202015
